Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	"Protein class"	"Biological process"	"Molecular function"	Evidence	"RNA tissue specificity"	Interactions	"Subcellular main location"
PRKG1	"PGK, PKG, PKG1, PRKG1B, PRKGR1B"	ENSG00000185532	"Protein kinase cGMP-dependent 1"	Q13976	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		"Allosteric enzyme, Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	11	"Vesicles, Cytosol"
PRKN	"AR-JP, PARK2, parkin, PDJ"	ENSG00000185345	"Parkin RBR E3 ubiquitin protein ligase"	O60260	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Autophagy, Transcription, Transcription regulation, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Tissue enhanced"	1427	"Nuclear speckles"
PRKRA	"DYT16, HSD14, PACT, RAX"	ENSG00000180228	"Protein activator of interferon induced protein kinase EIF2AK2"	O75569	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"	"Host-virus interaction, RNA-mediated gene silencing"	RNA-binding	"Evidence at protein level"	"Low tissue specificity"	248	Cytosol
PRKRIP1	"C114, FLJ13902, KRBOX3"	ENSG00000128563	"PRKR interacting protein 1"	Q9H875	"Predicted intracellular proteins"	"mRNA processing, mRNA splicing"		"Evidence at protein level"	"Low tissue specificity"	4	"Actin filaments"
PRKX	PKX1	ENSG00000183943	"Protein kinase cAMP-dependent X-linked catalytic subunit"	P51817	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Angiogenesis, Differentiation"	"Developmental protein, Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	27	Nucleoplasm
PRL		ENSG00000172179	Prolactin	P01236	"Cancer-related genes, Plasma proteins, Predicted secreted proteins"	Lactation	Hormone	"Evidence at protein level"	"Tissue enriched"	1	
PRM1	CT94.1	ENSG00000175646	"Protamine 1"	P04553	"Predicted intracellular proteins"	"Differentiation, DNA condensation, Spermatogenesis"	"Developmental protein, DNA-binding"	"Evidence at protein level"	"Tissue enriched"	1	"Nucleoplasm, Cytosol"
PRM2	CT94.2	ENSG00000122304	"Protamine 2"	P04554	"Predicted intracellular proteins"	"Differentiation, DNA condensation, Spermatogenesis"	"Developmental protein, DNA-binding"	"Evidence at protein level"	"Tissue enriched"	3	
PRMT1	"ANM1, HCP1, HRMT1L2"	ENSG00000126457	"Protein arginine methyltransferase 1"	Q99873	"Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins"		"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	197	Nucleoplasm
PRMT2	"HRMT1L1, MGC111373"	ENSG00000160310	"Protein arginine methyltransferase 2"	P55345	"Enzymes, Predicted intracellular proteins"		"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	22	"Nucleoplasm, Cytosol"
PRMT3	HRMT1L3	ENSG00000185238	"Protein arginine methyltransferase 3"	O60678	"Enzymes, Predicted intracellular proteins"		"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	19	
PRMT5	"HRMT1L5, SKB1, SKB1Hs"	ENSG00000100462	"Protein arginine methyltransferase 5"	O14744	"Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins"	"Biological rhythms, Transcription, Transcription regulation"	"Chromatin regulator, Methyltransferase, Repressor, Transferase"	"Evidence at protein level"	"Low tissue specificity"	162	"Nucleoplasm, Cytosol"
PRMT6	"FLJ10559, HRMT1L6"	ENSG00000198890	"Protein arginine methyltransferase 6"	Q96LA8	"Enzymes, Predicted intracellular proteins"	"DNA damage, DNA repair, Host-virus interaction, Transcription, Transcription regulation"	"Chromatin regulator, Methyltransferase, Repressor, Transferase"	"Evidence at protein level"	"Low tissue specificity"	84	"Nucleoplasm, Nucleoli"
PRMT7	"FLJ10640, KIAA1933"	ENSG00000132600	"Protein arginine methyltransferase 7"	Q9NVM4	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Differentiation, Transcription, Transcription regulation"	"Chromatin regulator, Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	9	Nucleoplasm
PRMT9	"FLJ46629, PRMT10"	ENSG00000164169	"Protein arginine methyltransferase 9"	Q6P2P2	"Enzymes, Predicted intracellular proteins"		"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	7	Microtubules
PRNP	"AltPrP, CD230, CJD, GSS, PRIP, PRP"	ENSG00000171867	"Prion protein"	P04156	"CD markers, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Cell cycle, Growth arrest"	Prion	"Evidence at protein level"	"Tissue enhanced"	320	"Nuclear membrane, Cytosol"
PROB1	C5orf65	ENSG00000228672	"Proline rich basic protein 1"	E7EW31	"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"		Nucleoplasm
PROCR	"CCD41, CD201, EPCR"	ENSG00000101000	"Protein C receptor"	Q9UNN8	"Candidate cardiovascular disease genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Blood coagulation, Hemostasis"	Receptor	"Evidence at protein level"	"Tissue enhanced"	2	
PRODH	"HSPOX2, PIG6, PRODH1, PRODH2, TP53I6"	ENSG00000100033	"Proline dehydrogenase 1"	O43272	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Proline metabolism"	Oxidoreductase	"Evidence at protein level"	"Tissue enhanced"		Mitochondria
PRODH	"HSPOX2, PIG6, PRODH1, PRODH2, TP53I6"	ENSG00000277196	"Proline dehydrogenase 1"		"Human disease related genes, Predicted intracellular proteins"			"Evidence at transcript level"	"Tissue enriched"		Mitochondria
PROK1	"EGVEGF, PK1, PRK1"	ENSG00000143125	"Prokineticin 1"	P58294	"Predicted secreted proteins"	Angiogenesis	"Growth factor, Mitogen"	"Evidence at protein level"	"Tissue enhanced"		
PRORP	"KIAA0391, MRPP3"	ENSG00000100890	"Protein only RNase P catalytic subunit"	O15091	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"tRNA processing"	"Hydrolase, Nuclease"	"Evidence at protein level"	"Low tissue specificity"	2	Mitochondria
PROS1	PROS	ENSG00000184500	"Protein S"	P07225	"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Blood coagulation, Fibrinolysis, Hemostasis"		"Evidence at protein level"	"Tissue enhanced"	19	
PROSER1	"bA50D16.2, C13orf23, FLJ12661"	ENSG00000120685	"Proline and serine rich 1"	Q86XN7	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	2	Nucleoplasm
PROSER2	"C10orf47, MGC35403"	ENSG00000148426	"Proline and serine rich 2"	Q86WR7	"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	8	"Plasma membrane, Cytosol"
PROSER3	"C19orf55, FLJ30657"	ENSG00000167595	"Proline and serine rich 3"	Q2NL68	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	6	"Golgi apparatus"
PROX1		ENSG00000117707	"Prospero homeobox 1"	Q92786	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Biological rhythms, Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"	"Evidence at protein level"	"Tissue enriched"	6	Nucleoplasm
PRPF18	hPrp18	ENSG00000165630	"Pre-mRNA processing factor 18"	Q99633	"Essential proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"		"Evidence at protein level"	"Low tissue specificity"	65	"Nuclear speckles"
PRPF19	"hPSO4, NMP200, PRP19, PSO4, SNEV, UBOX4"	ENSG00000110107	"Pre-mRNA processing factor 19"	Q9UMS4	"Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins"	"DNA damage, DNA repair, mRNA processing, mRNA splicing, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	197	"Nuclear speckles"
PRPF3	"hPrp3, Prp3, RP18, SNRNP90"	ENSG00000117360	"Pre-mRNA processing factor 3"	O43395	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"		"Evidence at protein level"	"Low tissue specificity"	174	Nucleoplasm
PRPF31	"hPrp31, NY-BR-99, PRP31, RP11, SNRNP61"	ENSG00000105618	"Pre-mRNA processing factor 31"	Q8WWY3	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"	"Ribonucleoprotein, RNA-binding"	"Evidence at protein level"	"Low tissue specificity"	186	Nucleoplasm
PRPF38A	"FLJ14936, Prp38"	ENSG00000134748	"Pre-mRNA processing factor 38A"	Q8NAV1	"Essential proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"		"Evidence at protein level"	"Low tissue specificity"	38	Nucleoplasm
PRPF38B	"FLJ10330, NET1"	ENSG00000134186	"Pre-mRNA processing factor 38B"	Q5VTL8	"Essential proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"		"Evidence at protein level"	"Low tissue specificity"	4	
PRPF39	"FLJ11128, FLJ20666"	ENSG00000185246	"Pre-mRNA processing factor 39"	Q86UA1	"Essential proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"		"Evidence at protein level"	"Low tissue specificity"	6	Nucleoplasm
PRPF4	"HPRP4, HPRP4P, PRP4, Prp4p, SNRNP60"	ENSG00000136875	"Pre-mRNA processing factor 4"	O43172	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"		"Evidence at protein level"	"Low tissue specificity"	95	"Nuclear speckles"
PRPF40A	"FBP-11, FBP11, FLAF1, FLJ20585, FNBP3, HIP10, HYPA, NY-REN-6, Prp40"	ENSG00000196504	"Pre-mRNA processing factor 40 homolog A"		"Essential proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	84	"Nuclear speckles"
PRPF40B	HYPC	ENSG00000110844	"Pre-mRNA processing factor 40 homolog B"	Q6NWY9	"Predicted intracellular proteins"	"mRNA processing, mRNA splicing"		"Evidence at protein level"	"Low tissue specificity"	6	"Nuclear bodies"
PRPF4B	"KIAA0536, PR4H, Prp4"	ENSG00000112739	"Pre-mRNA processing factor 4B"	Q13523	"Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	162	"Nuclear speckles"
PRPF6	"ANT-1, bB152O15.1, C20orf14, hPrp6, Prp6, RP60, SNRNP102, TOM, U5-102K"	ENSG00000101161	"Pre-mRNA processing factor 6"	O94906	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"		"Evidence at protein level"	"Low tissue specificity"	142	"Nucleoplasm, Nuclear speckles, Basal body"
PRPF8	"hPrp8, Prp8, PRPC8, RP13, SNRNP220"	ENSG00000174231	"Pre-mRNA processing factor 8"	Q6P2Q9	"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"	"Ribonucleoprotein, RNA-binding"	"Evidence at protein level"	"Low tissue specificity"	252	"Nucleoplasm, Nuclear speckles"
PRPH2	"CACD2, rd2, RDS, RP7, TSPAN22"	ENSG00000112619	"Peripherin 2"	P23942	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Cell adhesion, Sensory transduction, Vision"		"Evidence at protein level"	"Tissue enriched"	2	
PRPS1	"CMTX5, DFN2, DFNX1, PPRibP, PRS-I"	ENSG00000147224	"Phosphoribosyl pyrophosphate synthetase 1"	P60891	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Nucleotide biosynthesis"	"Kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	118	Vesicles
PRPS2		ENSG00000101911	"Phosphoribosyl pyrophosphate synthetase 2"	P11908	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Nucleotide biosynthesis"	"Kinase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	28	Vesicles
PRPSAP1	PAP39	ENSG00000161542	"Phosphoribosyl pyrophosphate synthetase associated protein 1"	Q14558	"Predicted intracellular proteins"	"Nucleotide biosynthesis"		"Evidence at protein level"	"Low tissue specificity"	14	Cytosol
PRPSAP2	PAP41	ENSG00000141127	"Phosphoribosyl pyrophosphate synthetase associated protein 2"	O60256	"Predicted intracellular proteins"	"Nucleotide biosynthesis"		"Evidence at protein level"	"Low tissue specificity"	20	"Nucleoplasm, Cytosol"
PRR11	FLJ11029	ENSG00000068489	"Proline rich 11"	Q96HE9	"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	4	"Endoplasmic reticulum"
PRR12	KIAA1205	ENSG00000126464	"Proline rich 12"	Q9ULL5	"Disease related genes, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	7	Cytosol
PRR13	"DKFZP564J157, FLJ23818"	ENSG00000205352	"Proline rich 13"	Q9NZ81	"Essential proteins, Predicted intracellular proteins"	"Transcription, Transcription regulation"		"Evidence at protein level"	"Low tissue specificity"	38	Nucleoplasm
PRR14	MGC3121	ENSG00000156858	"Proline rich 14"	Q9BWN1	"Predicted intracellular proteins"	Myogenesis		"Evidence at protein level"	"Low tissue specificity"	21	Nucleoplasm
PRR14L	"C22orf30, MGC50372"	ENSG00000183530	"Proline rich 14 like"	Q5THK1	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	4	Nucleoplasm
PRR16	DSC54	ENSG00000184838	"Proline rich 16"	Q569H4	"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	5	Nucleoplasm
PRR22	MGC24975	ENSG00000212123	"Proline rich 22"	Q8IZ63	"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enriched"		Nucleoplasm
PRR3	"CAT56, Em:AB014077.1, Em:AB023052.2"	ENSG00000204576	"Proline rich 3"	P79522	"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	96	Nucleoplasm
PRR33	"C11orf89, LOC728008"	ENSG00000283787	"Proline rich 33"		"Predicted intracellular proteins"			"Evidence at transcript level"	"Tissue enhanced"		
PRR4	"LPRP, PROL4"	ENSG00000111215	"Proline rich 4"	Q16378	"Plasma proteins, Predicted secreted proteins"			"Evidence at protein level"	"Tissue enriched"	9	
PRR7	MGC10772	ENSG00000131188	"Proline rich 7, synaptic"	Q8TB68	"Predicted intracellular proteins, Transporters"	"Adaptive immunity, Immunity"		"Evidence at protein level"	"Tissue enhanced"	3	"Nucleoplasm, Plasma membrane, Cytosol"
PRRC1	FLJ32875	ENSG00000164244	"Proline rich coiled-coil 1"	Q96M27	"Predicted intracellular proteins, Predicted membrane proteins"			"Evidence at protein level"	"Low tissue specificity"	9	Vesicles
PRRC2A	"BAT2, D6S51E, G2"	ENSG00000204469	"Proline rich coiled-coil 2A"	P48634	"Essential proteins, Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	37	Cytosol
PRRC2B	"BAT2L, BAT2L1, KIAA0515, LQFBS-1, MGC10526"	ENSG00000288701	"Proline rich coiled-coil 2B"	Q5JSZ5	"Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	22	Cytosol
PRRC2C	"BAT2D1, BAT2L2, KIAA1096, XTP2"	ENSG00000117523	"Proline rich coiled-coil 2C"	Q9Y520	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	23	Cytosol
PRRG1	PRGP1	ENSG00000130962	"Proline rich and Gla domain 1"	O14668	"Predicted intracellular proteins, Predicted membrane proteins"			"Evidence at protein level"	"Tissue enhanced"	7	"Vesicles, Plasma membrane"
PRRG3	TMG3	ENSG00000130032	"Proline rich and Gla domain 3"	Q9BZD7	"Predicted intracellular proteins, Predicted membrane proteins"			"Evidence at protein level"	"Tissue enhanced"		
PRRG4	TMG4	ENSG00000135378	"Proline rich and Gla domain 4"	Q9BZD6	"Predicted membrane proteins"			"Evidence at protein level"	"Low tissue specificity"	20	"Golgi apparatus"
PRRT2	"DKFZp547J199, DSPB3, DYT10, EKD1, FICCA, FLJ25513, ICCA, IFITMD1, PKC"	ENSG00000167371	"Proline rich transmembrane protein 2"	Q7Z6L0	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			"Evidence at protein level"	"Tissue enhanced"	6	"Plasma membrane"
PRRT3	FLJ33674	ENSG00000163704	"Proline rich transmembrane protein 3"	Q5FWE3	"Predicted intracellular proteins, Predicted membrane proteins"			"Evidence at protein level"	"Group enriched"		"Plasma membrane"
PRRT4		ENSG00000224940	"Proline rich transmembrane protein 4"	C9JH25	"Predicted intracellular proteins, Predicted membrane proteins"			"Evidence at protein level"	"Group enriched"		Nucleoplasm
PRRX1	"PHOX1, PMX1"	ENSG00000116132	"Paired related homeobox 1"	P54821	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"		"Developmental protein, DNA-binding"	"Evidence at protein level"	"Low tissue specificity"	2	Nucleoplasm
PRRX2	"PMX2, PRX2"	ENSG00000167157	"Paired related homeobox 2"	Q99811	"Predicted intracellular proteins, Transcription factors"		"Developmental protein, DNA-binding"	"Evidence at protein level"	"Tissue enhanced"		Nucleoplasm
PRSS1	TRY1	ENSG00000204983	"Serine protease 1"	P07477	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	Digestion	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"	"Tissue enriched"	2	Vesicles
